,Выживший,Класс пассажира,Пол,Возраст,Кол-во родственников,Кол-во детей(?),Порт посадки,Год рождения
0,0,3,male,22.0,1,0,S,2000.0
1,1,1,female,38.0,1,0,C,1984.0
2,1,3,female,26.0,0,0,S,1996.0
3,1,1,female,35.0,1,0,S,1987.0
4,0,3,male,35.0,0,0,S,1987.0
5,0,3,male,24.0,0,0,Q,1998.0
6,0,1,male,54.0,0,0,S,1968.0
7,0,3,male,2.0,3,1,S,2020.0
8,1,3,female,27.0,0,2,S,1995.0
9,1,2,female,14.0,1,0,C,2008.0
10,1,3,female,4.0,1,1,S,2018.0
11,1,1,female,58.0,0,0,S,1964.0
12,0,3,male,20.0,0,0,S,2002.0
13,0,3,male,39.0,1,5,S,1983.0
14,0,3,female,14.0,0,0,S,2008.0
15,1,2,female,55.0,0,0,S,1967.0
16,0,3,male,2.0,4,1,Q,2020.0
17,1,2,male,24.0,0,0,S,1998.0
18,0,3,female,31.0,1,0,S,1991.0
19,1,3,female,24.0,0,0,C,1998.0
20,0,2,male,35.0,0,0,S,1987.0
21,1,2,male,34.0,0,0,S,1988.0
22,1,3,female,15.0,0,0,Q,2007.0
23,1,1,male,28.0,0,0,S,1994.0
24,0,3,female,8.0,3,1,S,2014.0
25,1,3,female,38.0,1,5,S,1984.0
26,0,3,male,24.0,0,0,C,1998.0
27,0,1,male,19.0,3,2,S,2003.0
28,1,3,female,24.0,0,0,Q,1998.0
29,0,3,male,24.0,0,0,S,1998.0
30,0,1,male,40.0,0,0,C,1982.0
31,1,1,female,24.0,1,0,C,1998.0
32,1,3,female,24.0,0,0,Q,1998.0
33,0,2,male,66.0,0,0,S,1956.0
34,0,1,male,28.0,1,0,C,1994.0
35,0,1,male,42.0,1,0,S,1980.0
36,1,3,male,24.0,0,0,C,1998.0
37,0,3,male,21.0,0,0,S,2001.0
38,0,3,female,18.0,2,0,S,2004.0
39,1,3,female,14.0,1,0,C,2008.0
40,0,3,female,40.0,1,0,S,1982.0
41,0,2,female,27.0,1,0,S,1995.0
42,0,3,male,24.0,0,0,C,1998.0
43,1,2,female,3.0,1,2,C,2019.0
44,1,3,female,19.0,0,0,Q,2003.0
45,0,3,male,24.0,0,0,S,1998.0
46,0,3,male,24.0,1,0,Q,1998.0
47,1,3,female,24.0,0,0,Q,1998.0
48,0,3,male,24.0,2,0,C,1998.0
49,0,3,female,18.0,1,0,S,2004.0
50,0,3,male,7.0,4,1,S,2015.0
51,0,3,male,21.0,0,0,S,2001.0
52,1,1,female,49.0,1,0,C,1973.0
53,1,2,female,29.0,1,0,S,1993.0
54,0,1,male,65.0,0,1,C,1957.0
55,1,1,male,24.0,0,0,S,1998.0
56,1,2,female,21.0,0,0,S,2001.0
57,0,3,male,28.5,0,0,C,1993.5
58,1,2,female,5.0,1,2,S,2017.0
59,0,3,male,11.0,5,2,S,2011.0
60,0,3,male,22.0,0,0,C,2000.0
61,1,1,female,38.0,0,0,S,1984.0
62,0,1,male,45.0,1,0,S,1977.0
63,0,3,male,4.0,3,2,S,2018.0
